/Objects/Apple_34d5f204,/Objects/Bowl_1,/Objects/Bread_a13c4e42,/Objects/Lettuce_b97186e2,/Objects/Mug_77db6e4d,/Objects/Tomato_7d6fd278,/Objects/drill_textured/default,/Objects/firstaid,/Objects/hammer_textured/default,/Objects/waterbottle,gaze,head_pos,timestamp
0.008891622662724807,,0.07506827971704677,0.04902679126024423,0.042460211082394284,0.010001331770079336,,0.6955884276947272,0.7944245363423924,0.0208366037201424,[-0.25917853  0.31800155 -0.9119767 ],[ 0.5559972  -0.73543801  1.98876838],699.662
0.008832652892970305,,0.07435378914728308,0.04847623094951581,0.042963335205051356,0.009906057167187399,,0.6943814377514241,0.7712239201196702,0.020729775816579088,[-0.26146388  0.31785781 -0.91137427],[ 0.55515232 -0.73537831  1.98910563],699.742
0.009125358110634973,,0.0734871235140313,0.04784888274489951,0.0442825923210205,0.010243452828718524,,0.6944823969483607,0.7764540748478037,0.0208689724767549,[-0.26573545  0.31621554 -0.91070983],[ 0.55352225 -0.73552351  1.98987498],699.84
0.009009268548280658,,0.07187254863517822,0.046675857745973826,0.04650584707834593,0.010812182399449477,,0.6966157398883928,0.754389057020356,0.021070253928916705,[-0.27399113  0.31411268 -0.9089896 ],[ 0.5519622  -0.73588066  1.99046934],699.94
0.009119819809293772,,0.06968631648972179,0.045000793936387895,0.047870229400446274,0.011014006604090576,,0.6951080301902517,0.7419365365556605,0.020729615587702255,[-0.28104766  0.31499094 -0.90652795],[ 0.55033675 -0.7358412   1.99053041],700.054
0.009397022095908203,,0.06779187392209696,0.043620553406258145,0.05012965433586414,0.010979290431642807,,0.6972906933593264,0.6957632574634813,0.020869675410861488,[-0.28985548  0.31415725 -0.90404039],[ 0.54868374 -0.73609858  1.99031539],700.161
0.00962972116473193,,0.06730488826506498,0.043274371880887785,0.05118200160655062,0.011287910323043993,,0.698655876257895,0.6988736104210282,0.021064459511925482,[-0.29255806  0.31384221 -0.90327894],[ 0.54671006 -0.73632054  1.98929836],700.285
0.01094611903471665,,0.06729123776439339,0.043286132201762806,0.05180070336214648,0.011484134182515149,,0.7088572073188542,0.7108577591355506,0.02127971820345631,[-0.29342096  0.31322659 -0.90321273],[ 0.54524348 -0.7364121   1.98874117],700.368
0.010644304650841763,,0.06728252912634403,0.043231866041429146,0.05104896742717069,0.01122755298276934,,0.7041407174311896,0.7047518348221888,0.020977555956650185,[-0.2910947   0.31454119 -0.90350856],[ 0.54472714 -0.73629694  1.98903415],700.484
0.010925008195102892,,0.06795383625976759,0.04379923483630399,0.05143052205936194,0.011170045147988472,,0.7123197743842543,0.7043157089969673,0.02139501660521914,[-0.29036839  0.31249745 -0.90445096],[ 0.54422767 -0.73647242  1.98985307],700.587
