/Objects/Apple_34d5f204,/Objects/Bowl_1,/Objects/Bread_a13c4e42,/Objects/Lettuce_b97186e2,/Objects/Mug_77db6e4d,/Objects/Tomato_7d6fd278,/Objects/drill_textured/default,/Objects/firstaid,/Objects/hammer_textured/default,/Objects/waterbottle,gaze,head_pos,timestamp
0.44342862236816016,0.41805476003674213,0.6432185932461945,0.5120820319132644,0.4601492164012645,0.31057333883024363,,1.2825464832066438,,0.477139440284729,[ 0.35780438 -0.26278892 -0.89605692],[-0.18187979 -0.78292112  1.91245594],836.924
0.4371967617828516,0.42241592978784914,0.630308434896955,0.5018821068267798,0.4606609318960535,0.30862442079499264,,0.9008733870706866,,0.4702985776273816,[ 0.33646247 -0.26495839 -0.90365372],[-0.18956453 -0.78345828  1.91668775],837.019
0.4356901602477413,0.42604709855910416,0.6244391151787474,0.49779021652486166,0.46451685206320914,0.3094183767599583,,0.9140944124393271,,0.46885866381802266,[ 0.31985113 -0.26777278 -0.90884157],[-0.19345069 -0.78392987  1.91606475],837.115
0.42542666490490366,0.41948397174240337,0.6072559796286205,0.5963894022281441,0.46185054217517574,0.3033591563888949,,0.9218744295724405,,0.45851145402141913,[ 0.29541587 -0.26167417 -0.91883409],[-0.19750744 -0.78318279  1.91422136],837.214
0.4124549572263271,0.4208478555140275,0.5850656509052456,0.465436602831784,0.4596003742455288,0.29637359014692777,,0.9320068503560683,,0.445453189165941,[ 0.26029073 -0.25325372 -0.9317249 ],[-0.20257224 -0.78246849  1.91205414],837.303
0.40687197342876236,0.4288202511429742,0.5669747038569317,0.4528693392154386,0.4680872676936745,0.29757532191659775,,1.0884896915757487,,0.4400916262497988,[ 0.21396513 -0.25287909 -0.94354178],[-0.20926815 -0.78245359  1.90949063],837.409
0.404591499063666,0.43649035626861854,0.5388088210859809,0.5266224119533223,0.47608687400720195,0.30040840322645757,,1.0867046353113408,,0.4379398232160079,[ 0.17944214 -0.25333683 -0.9505898 ],[-0.21444628 -0.78240401  1.90825029],837.527
0.39370674621914614,0.44352739305024735,0.5262889340111074,0.42483854275132693,0.4835297384347337,0.299838671753743,,1.1212155371125057,,0.4271529223538112,[ 0.11730567 -0.2416842  -0.96323835],[-0.22390323 -0.78115401  1.90393898],837.654
0.3847858133270333,0.44666120804018106,0.5048003859902306,0.40933816192055583,0.4868830055471809,0.29835481393930186,,1.1216618420834923,,0.41826917784173057,[ 0.07579411 -0.22876315 -0.97052701],[-0.23140199 -0.7796176   1.89989079],837.779
0.37455622600936256,0.4410771235803589,0.48958812055709733,0.39656234221364395,0.4812503695310093,0.2917430340086684,,1.1251277090682474,,0.40790408379330956,[ 0.06126963 -0.21460363 -0.97477757],[-0.2355979  -0.77780132  1.89663233],837.884
0.4106081292309598,0.4547619374303763,0.4451617401883742,0.45033309288320467,0.44124055619557523,0.2562302011328914,,1.0726543517080538,,1.0703850961051897,[ 0.06059034 -0.16056449 -0.98516387],[-0.24074034 -0.77164559  1.88804993],837.996
