/Objects/Apple_34d5f204,/Objects/Bowl_1,/Objects/Bread_a13c4e42,/Objects/Lettuce_b97186e2,/Objects/Mug_77db6e4d,/Objects/Tomato_7d6fd278,/Objects/drill_textured/default,/Objects/firstaid,/Objects/hammer_textured/default,/Objects/waterbottle,gaze,head_pos,timestamp
0.07712564158826196,0.10399732923205274,0.13077225953219707,0.08719520561054217,0.1020121187345282,0.06286985419361857,,,,0.07838139739231609,[-0.14440992  0.04184473 -0.98863279],[ 0.27356093 -0.76452689  2.58502402],507.647
0.07785675971178663,0.1063387301274965,0.13020832205099286,0.08707557274281019,0.10410464432845168,0.06466223086016532,,,,0.07882990213775043,[-0.15054428  0.03897071 -0.98783486],[ 0.27055894 -0.76481061  2.58462588],507.743
0.077326237442364,0.10771153064681693,0.12780743285724505,0.08547483224468044,0.10518347757814817,0.06571205751272591,,,,0.0779469377058557,[-0.15896358  0.03907216 -0.986511  ],[ 0.2675782  -0.76471417  2.58413788],507.855
0.07629920246865807,0.10957629685023496,0.12379539518204619,0.08278872059381459,0.10653969183914347,0.06719424628373138,,,,0.07637795778058709,[-0.17240715  0.04006189 -0.98421076],[ 0.26388077 -0.76445715  2.58382256],507.959
0.07438639190238472,0.11195302530105011,0.11722577164227233,0.07837494220232544,0.10813995515250274,0.0691845612787495,,,,0.07366700715569463,[-0.19334181  0.04365626 -0.98015972],[ 0.25946801 -0.76411401  2.58308013],508.075
0.07120337925478681,0.11176384517015758,0.11030266015199275,0.07335894430037082,0.10734343888550912,0.06919546009468258,,,,0.06990778412580467,[-0.20886848  0.05182796 -0.97656941],[ 0.25561402 -0.76323729  2.58182605],508.183
0.06761463634962828,0.10658136856706524,0.10763434327034604,0.07056745880597726,0.10233167297509316,0.06501277685830842,,,,0.06657582269680518,[-0.20199546  0.06157757 -0.97744874],[ 0.25399819 -0.76215248  2.58008905],508.271
0.061294925703088365,0.09470980418575903,0.10555499241327426,0.06718440736306042,0.09115776104321205,0.055519293535790104,,,,0.06119208794902309,[-0.17782309  0.08018405 -0.98079023],[ 0.25456733 -0.76000361  2.57711136],508.399
0.056862131467946275,0.0866499586664854,0.10366283289992917,0.06463536680754867,0.08353728899353163,0.04922680480763686,,,,0.0573738951939643,[-0.16319568  0.09472736 -0.98203559],[ 0.25607389 -0.75844555  2.57425151],508.508
0.0541306991903554,0.083869873946949,0.10030023488306539,0.06182085012868688,0.08067479370373565,0.047144918478917774,,,,0.05462816450230512,[-0.16530653  0.10276606 -0.98087353],[ 0.25701293 -0.75758069  2.57262525],508.615
