/Objects/Apple_34d5f204,/Objects/Bowl_1,/Objects/Bread_a13c4e42,/Objects/Lettuce_b97186e2,/Objects/Mug_77db6e4d,/Objects/Tomato_7d6fd278,/Objects/drill_textured/default,/Objects/firstaid,/Objects/hammer_textured/default,/Objects/waterbottle,timestamp
1.1073402602886744,1.181278616343846,1.2080329887123151,1.0726266076534479,1.1283770143190917,1.1583926758964036,2.0,2.0,2.0,0.979276876867729,2678.083
1.1089526300726447,1.1811737424127584,1.210696117976201,1.0749833727456362,1.1287473048121583,1.1594658975694239,2.0,2.0,2.0,0.9839802723529049,2678.201
1.202676744555681,1.183348414750889,1.21554732749143,1.079783604132078,2.0,2.0,2.0,2.0,2.0,0.9877821855847485,2678.314
1.1180749577595637,1.1851837980429267,1.2998471063450223,1.2604530500099556,1.133604427442687,1.1671005009675597,2.0,2.0,2.0,0.9921345856976094,2678.446
1.116112375864029,1.1819114837933047,1.2211081311033738,1.0845838639744085,1.1310046669233018,1.1646556306793194,2.0,2.0,2.0,0.990454334735153,2678.551
1.1065775155246276,1.1760835100292628,1.211936269310741,1.0747573521030653,1.1249234388850309,1.1561062610309039,2.0,2.0,2.0,0.9822741403701761,2678.652
1.098842825310513,1.1716284510861825,1.2053546151121957,1.067052420653066,1.1198851340185043,1.149273264082283,2.0,2.0,2.0,0.9758399498554886,2678.768
1.0836958977023488,1.1636808363698417,1.1890806187845637,1.0504367114044055,1.1109013917265744,1.1361750333845249,2.0,2.0,2.0,0.9626378044877316,2678.882
1.119188698669406,1.1817595991448049,1.2095118567547445,1.0459419415567641,1.0961453941325854,1.137842133265685,2.0,2.0,2.0,0.9545232892401629,2678.986
1.1078064607373121,1.1766106429826688,1.1721668604438369,1.0285777717586562,1.094338097269583,1.154557795070286,2.0,2.0,2.0,0.9417248272835003,2679.1
1.102657863362853,1.1684859609003848,1.1557040836365668,1.0130638071959417,1.090816866025816,1.1250303391255556,2.0,2.0,2.0,0.9310445966446018,2679.202
1.0463685646246654,2.0,1.1216329691369524,1.0054810620190129,1.1007741835672893,1.1143178836690262,2.0,2.0,2.0,0.9300380795014336,2679.33
1.0409676347235317,2.0,1.1349042506355116,0.9996597190766559,1.1113313199700658,1.0969621590864398,2.0,2.0,2.0,0.9235225975583792,2679.428
1.0262526855076348,2.0,1.1393515267169594,1.037525251231007,1.095648047542686,1.093336127646977,2.0,2.0,2.0,0.9123571812196704,2679.533
1.007637835481575,2.0,1.1275746928912656,1.0240813952396786,1.0766517942248834,1.0651294145002228,2.0,2.0,2.0,0.8965177451839205,2679.652
0.9681732512431767,2.0,1.0973129114779905,0.9908596396968593,1.0406767449555845,1.0244670826092823,2.0,2.0,2.0,0.8622034505562273,2679.76
0.9061915279708016,2.0,1.0568641435714454,0.8887966856523255,0.9793893559895672,0.9586347152976598,2.0,2.0,2.0,0.810151111603708,2679.877
0.9513910300255632,2.0,1.1391189806431632,0.8526445483975874,2.0,2.0,2.0,2.0,2.0,0.9512625566559074,2680.002
0.9974240262218963,2.0,0.8945362063019104,0.9687949722075937,2.0,2.0,2.0,2.0,2.0,0.9625189214685818,2680.097
0.9611307014016363,2.0,0.8778635103153816,0.9751618274474766,2.0,2.0,2.0,2.0,2.0,0.9522668953415205,2680.202
0.9511297156436778,2.0,0.9343069763679885,0.8265316326790716,2.0,2.0,2.0,2.0,2.0,2.0,2680.333
0.8716116385135816,2.0,1.0123912277078637,0.8957007905190221,0.8658241788380072,2.0,2.0,2.0,2.0,0.7804800239985145,2680.439
0.852997170023556,2.0,1.0111341755417302,0.8959934470174898,2.0,2.0,2.0,2.0,2.0,0.7650546569888053,2680.541
0.8567948733215762,2.0,1.0082815220443664,0.9672275003405083,2.0,2.0,2.0,2.0,2.0,0.7474735955722557,2680.648
0.9003255852196839,2.0,1.049825446179503,1.0116644426167616,2.0,2.0,2.0,2.0,2.0,0.7868395551213688,2680.768
0.930008264209948,2.0,1.0769848401583044,1.057299880189515,2.0,2.0,2.0,2.0,2.0,0.8134549177121997,2680.859
0.9589416966994041,2.0,1.0991578247996072,1.0829026806306246,2.0,2.0,2.0,2.0,2.0,0.8384833131437168,2680.965
0.9701884633231741,2.0,1.1019019931817902,1.0887301535274114,2.0,2.0,2.0,2.0,2.0,0.8471195226363166,2681.069
0.9723049074439027,2.0,1.1026819220055846,1.0899443003355789,2.0,2.0,2.0,2.0,2.0,0.8488338754538642,2681.188
0.9723049056070534,2.0,1.1062411589814976,1.0875807545974454,2.0,2.0,2.0,2.0,2.0,0.8652426549004152,2681.298
0.9726664513684254,2.0,1.105623878145506,1.0949061460046396,2.0,2.0,2.0,2.0,2.0,0.8676681387007743,2681.409
0.9851091836999797,2.0,1.0904612474865407,0.9492548375643987,1.0216554898567585,2.0,2.0,2.0,2.0,0.8745163096927348,2681.515
0.9856418142126072,2.0,1.1132886834911706,0.9510933362383939,0.9901374895285463,2.0,2.0,2.0,2.0,0.8743879194809617,2681.62
0.9847685433653145,2.0,1.104191582565142,0.9911468830969271,0.9875012931511917,2.0,2.0,2.0,2.0,0.873553567792706,2681.74
0.9769268304052792,2.0,1.0971299442426792,0.9839095772518249,0.9811514730443267,2.0,2.0,2.0,2.0,0.8667168054739915,2681.862
0.9740586456613403,2.0,1.0927630463798876,0.9804911610383196,0.9805395324401355,2.0,2.0,2.0,2.0,0.8641965524991115,2681.96
0.9752332470032812,2.0,1.0910459911555612,0.9804801385746289,0.9836548994561289,2.0,2.0,2.0,2.0,0.8650578500769958,2682.063
0.9781915671607793,2.0,0.989493547803501,0.9433067268814506,0.9999488217097792,1.0165178370612729,2.0,2.0,2.0,0.8677100873562212,2682.183
0.9801383412469312,1.0520392181698746,0.9886340121987237,0.9405371627657816,1.0076813816974446,0.984508620730614,2.0,2.0,2.0,0.8699379516275378,2682.277
0.9921891624465399,1.0485101513283641,1.0052535399000657,0.9454348071478812,1.0284853846874842,0.9933777239318008,2.0,2.0,2.0,0.8833044185889727,2682.394
0.9981758652424876,1.0519868262228727,1.0157896086884768,0.9459639634299052,1.0349841937836752,1.0980933962243649,2.0,2.0,2.0,0.885603657814197,2682.503
1.0034816950593999,2.0,1.1122911935161106,0.9562152054471194,2.0,1.0872168681072387,2.0,2.0,2.0,0.8913831434299487,2682.614
1.0147639898813856,2.0,1.136472613873571,0.976778467147591,2.0,1.100338926974371,2.0,2.0,2.0,0.9002312849506204,2682.73
1.0144208032729534,2.0,1.1375855075094072,0.9773132526686504,2.0,1.0770067921227107,2.0,2.0,2.0,0.8998284662035706,2682.838
1.0182446428092982,2.0,1.1430127478819812,0.9820698062268638,2.0,1.080032869473412,2.0,2.0,2.0,0.9031201802911141,2682.941
1.021205953073166,2.0,1.1510358546377955,0.9880993298923303,2.0,1.080615837493641,2.0,2.0,2.0,0.9054281030628294,2683.057
1.0803244292275946,2.0,1.140220149273575,0.9989217764303214,2.0,1.1087790053056024,2.0,2.0,2.0,0.9094333952712218,2683.149
1.0959406743412896,2.0,1.161336932307461,1.0139752299663147,2.0,1.0626127362509175,2.0,2.0,2.0,0.9238654277439424,2683.256
1.0802352832669657,1.04486242043747,1.1649117400883506,1.0148569199764195,1.0345139875106695,1.106586260215767,2.0,2.0,2.0,0.9234755363489655,2683.366
