/Objects/Apple_34d5f204,/Objects/Bowl_1,/Objects/Bread_a13c4e42,/Objects/Lettuce_b97186e2,/Objects/Mug_77db6e4d,/Objects/Tomato_7d6fd278,/Objects/drill_textured/default,/Objects/firstaid,/Objects/hammer_textured/default,/Objects/waterbottle,timestamp
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,726.274
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,726.398
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,726.514
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,726.628
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,726.752
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,726.865
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,727.02
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,727.162
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,727.316
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,727.432
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,727.551
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,727.669
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,727.816
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,727.934
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,728.07
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,728.192
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,728.304
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,728.442
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,728.536
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,728.689
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,728.816
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,728.967
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,729.061
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,729.205
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,729.324
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,729.449
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,729.59
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,729.689
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,729.808
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,729.949
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,730.092
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,730.224
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,730.352
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,730.495
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,730.616
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,730.745
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,730.835
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,730.955
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,731.099
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,731.206
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,731.322
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,731.44
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,731.569
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,731.704
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,731.824
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,731.961
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,732.103
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,732.224
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,732.362
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,732.485
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,732.622
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,732.751
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,732.876
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,732.991
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,733.108
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,733.234
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,733.361
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,733.488
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,733.593
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,733.725
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,733.866
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,733.987
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,734.123
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,734.238
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,734.356
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,734.456
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,734.58
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,734.696
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,734.83
