timestamp,object,distance
1957.097,waterbottle,0.9706511912396948
1957.617,Bread,1.3684576483021655
1957.745,waterbottle,1.5875115429175404
1958.635,Bread,1.4376114760926837
1958.825,waterbottle,1.1166607729753444
1960.197,Mug,1.3968672267649893
1960.824,waterbottle,1.3060601277741244
1961.307,Mug,1.5682470762119363
1966.072,waterbottle,1.5924082514563314
1966.609,Mug,1.353214978942672
1967.6,waterbottle,1.0582660064278357
1967.929,Mug,1.4962102291292692
1968.952,waterbottle,1.5636770321556488
1970.449,Lettuce,1.3126971295973082
1971.382,waterbottle,1.288298803578482
2006.897,Bread,0.90186899025594
2031.052,Apple,1.1324467215239389
2032.428,Bread,1.091571514886449
2033.289,Apple,0.8319828042085795
2035.077,Bread,0.8746134584321504
2035.567,Apple,0.8917684710788868
2041.715,Lettuce,0.9269045922359864
2066.492,Apple,0.850287057882554
2068.871,Tomato,0.7173263518830602
2086.147,Apple,0.9457763318548915
2086.955,Tomato,0.5952048726554182
2089.957,Apple,0.6597447827951005
2118.391,firstaid,1.004653378019118
2119.021,Apple,0.8952323566950048
2125.058,Tomato,0.9706064622953982
2152.366,Mug,0.6380678276686961
2157.641,Tomato,0.3307096906900523
2157.77,Mug,0.4300324466267452
2172.937,Bowl,0.6134286447602464
2187.594,drill,1.1810823233782897
2188.094,firstaid,1.073974693903544
2191.325,drill,1.1526349723331526
2191.54,Bowl,0.9177974854781844
2210.446,Tomato,0.9847880692329853
2211.226,Bowl,0.9840183956177041
2211.44,Tomato,0.9939445239122442
2211.65,Bowl,0.9794682164941674
2211.721,Mug,0.9873872961279594
2211.908,Tomato,0.9853855195192096
2216.198,waterbottle,1.2303499685126917
2230.718,Mug,1.362867899046552
2231.072,waterbottle,1.291956059389346
2234.527,Mug,1.3784716142276217
