/Objects/Apple_34d5f204,/Objects/Bowl_1,/Objects/Bread_a13c4e42,/Objects/Lettuce_b97186e2,/Objects/Mug_77db6e4d,/Objects/Tomato_7d6fd278,/Objects/drill_textured/default,/Objects/firstaid,/Objects/waterbottle,timestamp
0.12039005205231323,,0.050464365891746965,0.05123203954610955,0.23362927019190816,0.18514700305804743,,,0.12253577004898897,621.347
0.12448537620544509,,0.05177629840686848,0.05234278933245218,0.24060945770492648,0.19109882544411616,,,0.12647884983065172,621.476
0.11825765519950959,,0.045051363835069025,0.04565510602089495,0.2356337152705037,0.18606303083538778,,,0.11954904097559294,621.609
0.1340298821174679,,0.05522322998708884,0.05581340788617062,0.25629033901940323,0.20443703269258506,,,0.135869614246513,621.736
0.1386241694137883,,0.056336090765660485,0.05708169501072413,0.26408838346460817,0.21110940239729103,,,0.1402530693275883,621.851
0.14239780280525727,,0.05901850225751948,0.060539218811043294,0.2687599718703676,0.2151444249241674,,,0.14435742280424946,621.983
0.1294925722158855,,0.053885450666284695,0.054583944302838305,0.24893776477727736,0.19748314902357456,,,0.1320094583921233,622.123
0.12548085997287506,,0.05107554902883349,0.05157667810933653,0.24396201128974382,0.1928506725115543,,,0.1279446055963006,622.245
0.13271729735208115,,0.13742157906513341,0.1618673349553944,0.25700426647430696,0.20398265971780538,,,0.1346927807406756,622.368
0.13483817194967096,,0.05292028773394308,0.053680433755167845,0.260863799679374,0.20715268639004458,,,0.13677729181655152,622.477
0.13926734302446342,,0.05420646760181591,0.055036617004284194,0.26846470729857674,0.2134467680766291,,,0.14122046182056813,622.608
0.13370875008279381,,0.048817071237585274,0.04972391291193423,0.2634928648316197,0.20833451132655634,,,0.13535102251801823,622.729
0.1343863486771132,,0.04876707801577529,0.04960536797186965,0.26569839717188426,0.2097609639420258,,,0.13610750294883678,622.856
0.12210909228758404,,0.040384767266847144,0.04117391690961025,0.25082801744468264,0.19621325100578835,,,0.12323223233677916,622.953
0.11715979100332086,,0.03662500332173324,0.03741774597190328,0.244495403159267,0.19099211057934795,,,0.1176078236498489,623.074
0.1248832757542836,,0.04139382238608302,0.042345068021279575,0.25417512743111603,0.2001816908724291,,,0.12521351060843122,623.194
0.1269328036801296,,0.0430444231827144,0.04419401138538315,0.2567791249704189,0.2025686517163665,,,0.1272929870213927,623.309
0.1254935288153023,,0.03987655200329987,0.04071420466195674,0.2583750717918115,0.20327115139496976,,,0.12523030093265963,623.437
0.1126020144355615,,0.030857041057706702,0.03189556858003073,0.24290591292595143,0.1894576545402752,,,0.11129344640186012,623.559
0.10892157152117898,,0.029094473738430326,0.02985703959161068,0.2370818680666208,0.1846834972962622,,,0.10743058840656661,623.67
0.10038703115011105,,0.025731850799470712,0.02658359774231167,0.2236061580140687,0.17301848235436312,,,0.09908797513888312,623.769
0.0862905592724974,,0.023309945887916128,0.023692975876926314,0.19800490074739185,0.15080211261674348,,,0.0864640076948725,623.888
0.07559588595242017,,0.021217003172808613,0.021415832521486378,0.1789910818200724,0.1345443618411426,,,0.07640728524464824,623.993
0.07424871159867641,,0.021650383739941548,0.021830767491080816,0.17562183492762806,0.13187261115688953,,,0.07523654596781915,624.12
0.07562862321874575,,0.021553167336523127,0.021844082575166568,0.17824151413076184,0.1343438281016086,,,0.07627457788716807,624.24
