/Objects/Apple_34d5f204,/Objects/Bowl_1,/Objects/Bread_a13c4e42,/Objects/Lettuce_b97186e2,/Objects/Mug_77db6e4d,/Objects/Tomato_7d6fd278,/Objects/drill_textured/default,/Objects/firstaid,/Objects/hammer_textured/default,/Objects/waterbottle,gaze,head_pos,timestamp
0.353297457934026,,0.23521660652048626,0.22098954412806604,,0.4168188385029368,,,,,[-0.85245986  0.00712098 -0.52274419],[ 0.79753934 -0.92011885  1.30190341],148.263
0.3305404042077389,,0.23044134899870994,0.21320684473751883,,0.38466586706113215,,,,,[-0.80970188  0.02291312 -0.58639394],[ 0.80194721 -0.91895489  1.29727675],148.351
0.26215969211690837,,0.24641538619482117,0.21873511243558164,,0.27353875444280706,,,,,[-0.58475741  0.12101825 -0.80213051],[ 0.82424251 -0.9091529   1.2782573 ],148.497
0.09617273074284216,,0.23081789832875332,0.20251353262039118,,0.15944097308457206,,,,0.21805547675515513,[-0.52946665  0.19336464 -0.8259995 ],[ 0.83068392 -0.90133885  1.27359676],148.629
0.19383478414235433,,0.20447981912528224,0.17740814106249037,0.5267198790713874,0.19534391538021023,,0.5460087379211709,,0.5457941563549575,[-0.53519858  0.23724683 -0.81072586],[ 0.83249038 -0.89583091  1.27042164],148.738
0.16810940675282138,,0.1734040768183761,0.14837970365838649,,0.17383508158349914,,0.5390609667420385,,0.5353755742611154,[-0.56344385  0.26913908 -0.7810859 ],[ 0.8323384  -0.8914874   1.27074673],148.846
0.1455802163308435,,0.10115083265902602,0.08461746312551766,,0.17929135007029062,,0.510159332133566,,0.4627349386756703,[-0.71878336  0.2842462  -0.63447189],[ 0.81766078 -0.887228    1.27997894],148.982
0.15066626705253372,,0.08992136996165279,0.07620419733441075,,0.19325829933077732,,0.497550575102935,,0.4435389137119832,[-0.76159331  0.28161839 -0.58366661],[ 0.81128995 -0.88700978  1.28534215],149.062
0.1494617683260765,,0.08409691287084042,0.0715410914731417,,0.19482099351120052,,0.5007512606420131,,0.4421360446850019,[-0.77335025  0.28741159 -0.56508757],[ 0.80816007 -0.88613943  1.28870289],149.146
0.14704613514930376,,0.08176394920613828,0.06941646745108476,,0.1925514598211212,,0.4988551505283446,,0.4295844918990682,[-0.7726392   0.29235319 -0.56352309],[ 0.80609467 -0.88535575  1.29026345],149.248
0.14642675879751033,,0.08064742382722512,0.0684779436032249,,0.1922654689227723,,0.49606521902192635,,0.42222556893733576,[-0.77324376  0.29420029 -0.56172972],[ 0.80446637 -0.88512091  1.29180554],149.334
0.13047835507067984,,0.14097010960959944,0.12464084225885341,,0.1352256181582624,,0.4988133577350735,,0.4144433965173564,[-0.7784834   0.29884627 -0.55195517],[ 0.80298644 -0.88429431  1.29341273],149.458
0.14468440229945878,,0.076038275711934,0.06473810595706198,,0.19238722555660814,,0.49273667536596477,,0.4212557893367268,[-0.78120208  0.30039148 -0.54725521],[ 0.80307599 -0.88365034  1.2929396 ],149.539
0.1443919141460761,,0.07479010114181939,0.06375450003359351,,0.19270618774103865,,0.4913903785277126,,0.42144373956416137,[-0.78409828  0.30186234 -0.5422813 ],[ 0.80311697 -0.88300017  1.29265753],149.625
0.12952819064629528,,0.060623755813477676,0.05107992123692917,,0.1786994219363388,,0.4639563140683487,,0.3881226740341599,[-0.78636709  0.33230982 -0.52076576],[ 0.80357399 -0.87787251  1.29247284],149.733
0.16336345812865927,,0.08915490809641569,0.07740426884113294,,0.2126304950702549,,0.5226388627630681,,0.4516923440051702,[-0.79323443  0.26779967 -0.54686605],[ 0.8065789  -0.88773064  1.29201208],149.843
0.16017152810415747,,0.08851414620582687,0.07607213745223829,,0.20415762278770277,,0.5137094251949585,,0.4474115911871346,[-0.78176827  0.27271887 -0.56076982],[ 0.81009629 -0.88628415  1.2902785 ],149.988
0.1665654974874301,,0.10533678906654642,0.09039268929200206,,0.20785029332983818,,0.5347907504403102,,0.4721609491477935,[-0.75891949  0.24960497 -0.60144706],[ 0.81584512 -0.88924722  1.28699701],150.102
0.18842442137859639,,0.1412618968791438,0.1218014355728384,,0.2161307893573845,,0.5679635205117344,,0.5180638748481579,[-0.70554928  0.21424586 -0.67549901],[ 0.82358598 -0.894841    1.2815364 ],150.206
0.24445997398107788,,0.2546954133984096,0.2251409466712283,,0.23921247392482992,,0.6358272674892317,,0.6534043374900147,[-0.51263583  0.1708781  -0.84143044],[ 0.84632751 -0.90137414  1.26781971],150.311
0.5296131437016229,,0.5291937592051832,0.4918649722652957,,0.5177587745158192,,0.9819805497793704,,1.0008565398897102,[-0.41596343 -0.15607766 -0.89588738],[ 0.85980104 -0.93866555  1.25879238],150.43
0.6426261316634347,,0.6369083786862715,0.59882091194518,,0.6289718754748197,,1.0853534608864601,,1.09966454542369,[-0.36702912 -0.27576711 -0.888393  ],[ 0.87197002 -0.95339564  1.27568681],150.556
0.6455783691401962,,0.6451921091375475,0.6067921246826438,,0.6288388484581122,,1.0791330580479626,,1.0934858976441402,[-0.34353698 -0.27492001 -0.89799851],[ 0.87534143 -0.95267383  1.28186231],150.664
0.6391799967325766,,0.6540155305849702,0.6145861040823912,,0.6150525112786649,,1.0814274613731456,,1.0746735031651804,[-0.29322136 -0.25006823 -0.92276059],[ 0.87849915 -0.94932894  1.28332883],150.78
0.6277290853812016,,0.642742779200442,0.6034475096582179,,0.6037703786956766,,1.0993270652289462,,1.0831947147267131,[-0.29748964 -0.23999473 -0.92406842],[ 0.87659896 -0.94834332  1.28510158],150.871
0.5770192698440548,,0.5910977611930315,0.5524866996962731,,0.555460532899472,,1.126201210461802,,1.2519580622424287,[-0.32793622 -0.19391315 -0.92458397],[ 0.87116392 -0.94347123  1.28397629],151.0
0.5179620308955928,,0.5308733753359615,0.4931067238222999,,0.4991953305931357,,1.0096061197305495,,1.159117356428244,[-0.36432764 -0.13613102 -0.92126745],[ 0.86118061 -0.93693642  1.27937397],151.107
0.48190607400178553,,0.49671361798307745,0.4593976370204603,,0.4636488386406552,,0.9212595040687702,,1.0841647979503246,[-0.37718459 -0.09617984 -0.9211304 ],[ 0.85611283 -0.93250112  1.27674595],151.209
0.3903239816245806,,0.40328649995091603,0.36820636881919566,,0.3766973116480691,,1.0430113535780545,,1.0849877371020742,[-4.28456985e-01 -2.18185534e-04 -9.03562153e-01],[ 0.8452247  -0.92152361  1.27488509],151.351
0.2671797947897112,,0.22754657184971516,0.20242800428122942,,0.28607892675913527,,0.6658109779825718,,0.6356673467339853,[-0.64601189  0.10508095 -0.75605994],[ 0.81789102 -0.90912656  1.28502019],151.487
0.2353188992774038,,0.1742054074055247,0.15403371865502924,0.5980592095700281,0.2676942492051777,,0.7406468836790874,,0.7323442466442629,[-0.71996937  0.146678   -0.67832859],[ 0.80539015 -0.9033554   1.2925254 ],151.579
0.22196106948326033,,0.1509738608465162,0.1334392496021165,0.6578642459602959,0.26073943196524296,,,,0.6927250019933386,[-0.75017282  0.17031272 -0.63893217],[ 0.79598777 -0.90101937  1.29987695],151.68
0.2150929130834125,,0.14186692469890239,0.12523228341410475,0.629814513380901,0.2555859408400015,,,,0.6562068409988145,[-0.75525241  0.18296974 -0.62937737],[ 0.78869164 -0.89960507  1.30606723],151.78
0.20974099706994664,,0.1317888303038096,0.11654488082142367,0.543630638928585,0.2532609169687885,,,,0.6255030221934197,[-0.76562448  0.19501469 -0.61301585],[ 0.77921913 -0.89820985  1.31598694],151.898
0.21150627447961567,,0.1282714636444814,0.11403263784362028,0.5408248215243785,0.25794004083570043,,,,0.5955180242282869,[-0.77343488  0.19753263 -0.60231167],[ 0.76567269 -0.896766    1.32711514],152.024
0.2788830223451759,,0.21936819505381944,0.19630868363351273,0.6561492729956818,0.3069860648794446,,,,0.7579412929781849,[-0.67080092  0.08669175 -0.73655323],[ 0.76288457 -0.90588526  1.32487426],152.136
0.4989380414579564,,0.47594767171116603,0.440827971683421,0.8884211336387986,0.4969593683769017,,1.0610294420448898,,0.8971822218749984,[-0.45136062 -0.15809495 -0.87822524],[ 0.77052767 -0.93139247  1.32751868],152.249
0.5295385170223321,,0.5037015752647556,0.46834560269388037,0.9356367385681251,0.5273776117902288,,1.308689180678681,,0.9437503706635383,[-0.44095419 -0.195304   -0.87602269],[ 0.76775882 -0.9341772   1.3375461 ],152.379
0.47865586249078407,,0.4699297903794305,0.43397457329269573,0.8597651306259048,0.4701032317200119,,1.2621718801299326,,0.8903570594427158,[-0.4133678  -0.12623367 -0.90177166],[ 0.77792236 -0.92686037  1.32489529],152.496
0.4084210648514325,,0.40702560236940644,0.3722161160758384,0.7761640887975039,0.3995231060251133,,1.1977138183554814,,0.8013780761374085,[-0.42673249 -0.04004228 -0.90349101],[ 0.78114274 -0.92254285  1.31706577],152.617
0.24514668377776572,,0.19662206127390536,0.1735341168603005,0.6113198871322733,0.26981961844101243,,0.98915989927934,,0.7623858321510282,[-0.66028961  0.13681523 -0.73844378],[ 0.77601652 -0.90082828  1.30683885],152.721
0.22577545498699492,,0.1279319967337731,0.11591621547505904,0.5886803871230573,0.28063145591933747,,0.7046671329754407,,0.6985502100066784,[-0.82269088  0.19088363 -0.53548404],[ 0.77830031 -0.89577309  1.30045586],152.836
0.1994024895453982,,0.09336438894070764,0.08643684332159995,0.5274359329431102,0.2620138853303411,,0.5458301279531048,,0.5977409364700629,[-0.86057271  0.2538409  -0.44156472],[ 0.79337658 -0.89193431  1.28834591],152.961
0.13637736719385551,,0.046672640053530445,0.04249736823891337,0.39104485163068736,0.19548524251122035,,0.5110425670474392,,0.32011204329990817,[-0.84096914  0.36311539 -0.401146  ],[ 0.81165684 -0.87790565  1.26986186],153.068
0.0707837763026069,,0.021759101919180512,0.015015529206695022,0.3170728257100427,0.11281442094659266,,0.6359968451865514,,0.25471304320640886,[-0.76121747  0.46302282 -0.45404607],[ 0.82992587 -0.8630865   1.24445814],153.206
0.031985513793763465,,0.06279425765656088,0.047522580456767605,0.25297280101634845,0.03679213115929847,,0.5648009512534289,,0.2654795154748565,[-0.579776    0.56240973 -0.58953803],[ 0.860211   -0.84010366  1.19825912],153.344
0.02791782660310438,,0.06110544627888859,0.046276248118754415,0.26506409747800685,0.032420758781019576,,0.5653384433118356,,0.26536445506547446,[-0.58341631  0.57594419 -0.57263749],[ 0.86925876 -0.83621172  1.18606902],153.451
0.023158710474739053,,0.038360558219352026,0.02657617310209781,0.2538792744025915,0.03720929893027103,,0.24853002848172134,,0.258282099508535,[-0.63525313  0.57370076 -0.51703084],[ 0.87125283 -0.8363599   1.18614428],153.568
0.027021742273657945,,0.029525337526197237,0.018972352595216457,,0.047037926688964005,,0.2907060780770271,,0.29319150514529857,[-0.66660758  0.5579028  -0.49434684],[ 0.86807505 -0.83908133  1.18841589],153.673
0.04185087186340608,,0.0176791734487316,0.009744430312603858,,0.07435126749230558,,0.5182069282799753,,0.32607763305724136,[-0.72710696  0.5212717  -0.4467564 ],[ 0.85784442 -0.84336368  1.19586195],153.783
0.07381124086400881,,0.018440049265989522,0.012999489469946557,,0.12008612026804377,,0.38668161765483755,,0.36074431685749764,[-0.78858323  0.46242751 -0.40533601],[ 0.84142261 -0.8505309   1.21446554],153.919
0.12138732770343341,,0.04092180972433035,0.03537725910439904,,0.1767040943632483,,0.6302323696555345,,0.4060852371567266,[-0.82851209  0.37937453 -0.41187702],[ 0.81928064 -0.867782    1.24180236],154.023
