/Objects/Apple_34d5f204,/Objects/Bowl_1,/Objects/Bread_a13c4e42,/Objects/Lettuce_b97186e2,/Objects/Mug_77db6e4d,/Objects/Tomato_7d6fd278,/Objects/drill_textured/default,/Objects/firstaid,/Objects/hammer_textured/default,/Objects/waterbottle,timestamp
0.03779553976749883,0.03849201904797561,0.11698308484323561,0.06747958279110733,0.04301552548109733,0.03361492638000518,2.0,2.0,2.0,0.048853654460350504,738.093
0.06122160641013119,0.05716650357363706,0.15241513034332121,0.09556111061109962,0.06479587123874597,0.05590650491041993,2.0,2.0,2.0,0.07489412239971516,738.2
0.10855990432711293,0.10838994064785212,0.21063157114254327,0.14442592521695696,0.1196467301078804,0.10533241809774951,2.0,2.0,2.0,0.12447924970982971,738.317
0.1341757937967354,0.1350698242826679,0.24225301764621898,0.1711540628289272,0.14819919759598799,0.131628667174589,2.0,2.0,2.0,0.15104768677095703,738.449
0.1327338047985066,0.14081540024082728,0.23732109041953897,0.16661350810522546,0.15354438481703858,0.13249523930901141,2.0,2.0,2.0,0.14865172709719354,738.559
0.1161634088870982,0.12752140881370233,0.21794617137246852,0.14842716186948368,0.13945986862425264,0.11666735785320004,2.0,2.0,2.0,0.13098845006349347,738.68
0.10779704527209555,0.12000202195427279,0.2095152933691281,0.13989578832247263,0.1318824594557244,0.10834950032596191,2.0,2.0,2.0,0.12226188434627872,738.809
0.08991936068548378,0.10083652162557655,0.19078368926002598,0.12242735930434667,0.11224047079612298,0.0896030942771513,2.0,2.0,2.0,0.1038562653361409,738.933
0.08003167507834641,0.0948030785157542,0.1774995262930692,0.11102508479531403,0.10606647792231061,0.08056621921995344,2.0,2.0,2.0,0.09386949148452672,739.064
0.06924843072103104,0.09169007215743763,0.15875699535352428,0.09633920818226327,0.10191514454093609,0.07191574324949934,2.0,2.0,2.0,0.0822912592320697,739.188
0.06314227883695289,0.08663867402538927,0.14931030907665455,0.08953381737095667,0.09611284254025532,0.0659171286054876,2.0,2.0,2.0,0.07627050021163939,739.337
0.06972474425017472,0.09313286574286972,0.15774208524694855,0.09704197681987892,0.10328319081472137,0.07248386212543356,2.0,2.0,2.0,0.08398787825220577,739.451
0.06313149204476054,0.09108227344920683,0.14529507397732178,0.08802963762874672,0.10014717020199837,0.06712203071185374,2.0,2.0,2.0,0.07701188557420924,739.592
0.03904626231271835,0.07254064277729422,0.10861704331606636,0.05925068102307973,0.0777916765515616,0.04425417115334329,2.0,2.0,2.0,0.050117347333336504,739.713
0.031540364393844667,0.08202874517242309,0.08216707443870142,0.041628560160324124,0.08380537625429973,0.042057545142074604,2.0,2.0,2.0,0.03913978292183207,739.86
0.02649642910068184,0.07792697242178637,0.0737636480638546,0.03537459899077555,0.07872061279966547,0.03717240641575015,2.0,2.0,2.0,0.03319976744818376,739.97
0.02668224000607078,0.09575842425798786,0.05362909486695133,0.024471171604591446,0.09323558567866441,0.04301875638852726,2.0,2.0,2.0,0.029459026014706735,740.1
0.02668224000607078,0.09575842425798786,0.05362909486695133,0.024471171604591446,0.09323557354858958,0.04301875638852726,2.0,2.0,2.0,0.029459026014706735,740.208
0.02668224000607078,0.09575842425798786,0.05362909486695133,0.024471171604591446,0.09323557354858958,0.04301875731014437,2.0,2.0,2.0,0.029459026014706735,740.3
0.02668224000607078,0.09575842425798786,0.05362909486695133,0.024471171604591446,0.09323557383942949,0.04301875638852726,2.0,2.0,2.0,0.029459026014706735,740.391
0.017620198659375808,0.09677838929006233,0.01113307288704335,0.0023843482352854384,0.0874581576770409,0.03643548856956125,2.0,2.0,2.0,0.012972495004893836,740.49
0.01888623614875562,0.0993480042659678,0.008547975106169003,0.0021183096829244796,0.08943856199742739,0.038049270824303094,2.0,2.0,2.0,0.013532360061566329,740.603
0.019284220702773913,0.10029035627151894,0.01111511026371892,0.002965734287701527,0.09130430958498625,0.03872291156415264,2.0,2.0,2.0,0.014606589179982254,740.736
0.022913687748579714,0.10188012033898353,0.03019096517315989,0.011794279643001837,0.09584243545310966,0.04222380713348983,2.0,2.0,2.0,0.021550207135415778,740.853
0.05292024151892316,0.11724651215421067,0.09688884929948638,0.05691354561679218,0.11124253519264826,0.06845426381275399,2.0,2.0,2.0,0.06027770002205768,740.987
0.18752620342503767,0.22242906609390967,0.24962231975000904,0.19371983217119892,0.2276899962157356,0.21237543760423594,2.0,2.0,2.0,0.1928745016383595,741.106
0.1724088320958559,2.0,0.2378059873933167,0.18118250879885578,0.20886767776092796,0.19181986436822518,2.0,2.0,2.0,0.22008286059922666,741.247
0.1660382705838731,2.0,0.2300977080927732,0.17536164246636787,0.2006054851896174,0.19555153362629019,2.0,2.0,2.0,0.2121226393133554,741.346
0.15523332267770562,2.0,0.21783860609326688,0.15954536110068007,0.19422797910320222,0.17647668407698902,2.0,2.0,2.0,0.15137440023566362,741.463
0.14713846919703766,2.0,0.21309174324909397,0.1506404981965238,0.1957005786825189,0.15315158131201734,2.0,2.0,2.0,0.1476891738696927,741.575
0.14561789863183328,2.0,0.1938700573907377,0.1456441679516649,0.19329873182085466,0.13833118986174753,2.0,2.0,2.0,0.1390108432197822,741.704
0.12088675080393396,2.0,0.16535559373985387,0.13833155567784927,0.1880639061110333,0.1319620825519744,2.0,2.0,2.0,0.13137300163204324,741.804
0.12638425857206903,2.0,0.15909306921766564,0.1280313993348765,0.17521376103709196,0.1306169533505066,2.0,2.0,2.0,0.12787226287014541,741.953
0.1068575934256083,2.0,0.11551405895528111,0.11498248082945128,2.0,2.0,2.0,2.0,2.0,0.1561621711500999,742.081
0.10138161792055311,2.0,0.11081981916822692,0.0998003140759608,2.0,2.0,2.0,2.0,2.0,0.14749104475361452,742.255
0.0978478454058539,2.0,0.1100396892724893,0.09522380295134758,2.0,2.0,2.0,2.0,2.0,0.14088719638049674,742.386
0.08986250956859654,2.0,0.10753908611892604,0.10357901338459063,2.0,2.0,2.0,2.0,2.0,2.0,742.516
0.08686734030346088,2.0,0.12164180292165838,0.11401631884184416,2.0,2.0,2.0,2.0,2.0,0.10764034077900353,742.633
0.09151206600891804,2.0,0.1614526518875845,0.11963869209098932,0.09539393932184803,2.0,2.0,2.0,2.0,0.09856943405066032,742.76
0.09169208115264993,2.0,0.14698835977216151,0.13266110529638375,2.0,2.0,2.0,2.0,2.0,0.10130244648323239,742.861
0.09125603147686934,2.0,0.17924174283297967,0.14316303418963927,2.0,2.0,2.0,2.0,2.0,2.0,742.999
0.09427018126587738,2.0,0.18049940307467982,0.13968296717702866,2.0,2.0,2.0,2.0,2.0,0.12573008116889983,743.114
0.09907514008805751,2.0,0.18573503704230776,0.14463967161325297,2.0,2.0,2.0,2.0,2.0,0.13780084984702223,743.257
0.1002413315123577,2.0,0.17502286852366833,0.13204631017181656,2.0,2.0,2.0,2.0,2.0,0.13554827608329567,743.362
0.10276833929786522,2.0,0.15175456873120174,0.1432201195068471,2.0,2.0,2.0,2.0,2.0,0.12926596317564543,743.485
0.09923839490099018,2.0,0.14069863112616887,0.13787241113022142,2.0,2.0,2.0,2.0,2.0,0.13885469928426897,743.602
0.09892540281848927,2.0,0.14717546942451787,0.13646638899930952,2.0,2.0,2.0,2.0,2.0,0.11452523004001491,743.735
0.10166296328664393,2.0,0.1496767283271565,0.13932417532216168,2.0,2.0,2.0,2.0,2.0,0.13328142726730952,743.829
0.09487384175815505,2.0,0.15928206862015093,0.14252047207316254,2.0,2.0,2.0,2.0,2.0,0.12484046399645021,743.964
0.09984600770422769,2.0,0.18825878452089306,0.14964962614850097,2.0,2.0,2.0,2.0,2.0,0.10319715733427359,744.066
0.14435089760665032,2.0,0.2721550398916943,0.22147393887607847,2.0,2.0,2.0,2.0,2.0,0.15494423308578753,744.184
0.14573277387656858,2.0,0.271605941777497,0.22125611067992945,2.0,2.0,2.0,2.0,2.0,0.1588005817937772,744.289
0.0778554104741741,2.0,0.27718751897705596,0.1637486699379398,2.0,0.05533925747483859,2.0,2.0,2.0,0.18939885944194468,744.436
0.08043406191556779,2.0,0.2456930351603771,0.17390788338632457,2.0,2.0,2.0,2.0,2.0,0.1925646104675981,744.538
0.07523749430020199,2.0,0.2307892232259452,0.1645900286091314,2.0,2.0,2.0,2.0,2.0,0.18199322774547633,744.675
0.06708316830803107,2.0,0.21216568709948913,0.1509928399816598,2.0,2.0,2.0,2.0,2.0,0.16709534310326468,744.792
0.05895882905598926,2.0,0.1877338599388706,0.13480829968414654,2.0,2.0,2.0,2.0,2.0,0.14896184569872106,744.897
0.04324181445394604,2.0,0.1413135414581197,0.09810922381492293,2.0,2.0,2.0,2.0,2.0,0.11378513727948358,745.002
0.035090855746424676,2.0,0.11026753596825989,0.07006302328785596,2.0,2.0,2.0,2.0,2.0,0.07782486699612434,745.125
0.037334505049774314,2.0,0.10373693427549957,0.06725297597312885,2.0,2.0,2.0,2.0,2.0,0.07713389561921613,745.244
0.035143915969548134,2.0,0.1088213462875024,0.0815522078260994,2.0,2.0,2.0,2.0,2.0,0.057244123544090586,745.36
0.03044071238638546,2.0,0.09562250708657194,0.06736486087342497,2.0,2.0,2.0,2.0,2.0,0.04693660322788629,745.476
0.03282802167602805,2.0,0.10015346470886,0.07556374082355266,2.0,2.0,2.0,2.0,2.0,0.048651170008411904,745.594
0.036875233166719035,2.0,0.10849413243160289,0.0829301051133956,2.0,2.0,2.0,2.0,2.0,0.05479041833457554,745.702
0.038807830691203526,2.0,0.11408862376835782,0.0878304689151651,2.0,2.0,2.0,2.0,2.0,0.05826800494773998,745.851
0.04026681295397627,2.0,0.11595598264763707,0.08966055181109867,2.0,2.0,2.0,2.0,2.0,0.05982032483617106,745.942
0.04198061685770971,2.0,0.12045443999520478,0.09346230607679606,2.0,2.0,2.0,2.0,2.0,0.06259800998765086,746.089
0.041081807173041884,2.0,0.12038507068300941,0.09311617572763908,2.0,2.0,2.0,2.0,2.0,0.061908646043236315,746.184
0.04118958906431747,2.0,0.12042390035810746,0.09318864618571188,2.0,2.0,2.0,2.0,2.0,0.062005806530798346,746.301
