timestamp,object,distance
1462.965,waterbottle,0.055768510700591745
1463.072,Bread,0.050897124320649856
1463.457,waterbottle,0.05649256153159654
1464.955,Lettuce,0.054797057536329685
1465.184,waterbottle,0.055108992566026305
1470.6,Lettuce,0.07492951355620159
1470.794,waterbottle,0.07068696663794172
1471.57,Lettuce,0.08000354361812545
1480.25,Bread,0.08055652494516508
1481.448,Lettuce,0.08323793759828813
1482.096,Bread,0.03512341638174321
1482.183,Lettuce,0.03260601827705678
1482.282,Bread,0.03182083105258826
1483.138,Lettuce,0.006183957335995749
1485.039,Bread,0.008104386320861301
1487.674,Tomato,0.04460408425391782
1488.112,Bread,0.037555313280871805
1520.413,Lettuce,0.009142877283073947
1545.832,Apple,0.014830258658803497
1574.3,Tomato,0.010123686588894287
1603.482,Bowl,0.008896581411076854
1604.291,Tomato,0.01052691316018195
1604.515,Mug,0.008534056668738077
1605.293,Tomato,0.007654022105565428
1624.575,Mug,0.021243609465903757
1625.018,Bowl,0.015135400645119979
1650.142,Tomato,0.012990379551135356
1652.758,Bowl,0.04787756354480743
1653.219,Tomato,0.044402768838096796
1653.325,waterbottle,0.041254278376892994
1656.21,Lettuce,0.04490748162327951
1656.808,waterbottle,0.0320698941743891
1659.992,Lettuce,0.03611040918625863
1660.544,waterbottle,0.03581420978304428
1661.212,Lettuce,0.0318041725494872
1662.555,waterbottle,0.02914283051586508
1670.936,Tomato,0.03073130841657301
1671.153,Bowl,0.0291325753984647
1671.474,Tomato,0.029193188489241573
1671.599,waterbottle,0.029889028922104877
1681.213,Lettuce,0.04189398092156538
1681.322,Bread,0.040208429345126695
1682.88,waterbottle,0.05267532511623951
1682.997,Bowl,0.06962221415430991
1684.886,Tomato,0.0830897485953409
1685.006,waterbottle,0.07250436651945269
1685.896,Bread,0.05204301240859899
